#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,location,phase,source
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T11:30:00Z,0.08655604395604452,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T12:00:00Z,0.08839641224059155,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T12:30:00Z,0.0894545537065047,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T13:00:00Z,0.0854050737833595,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T13:30:00Z,0.0563935834821427,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T14:00:00Z,0.0000134688,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T14:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T15:00:00Z,0.005369828435609342,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T15:30:00Z,0.0055401470124659714,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T16:00:00Z,0.08190719094854357,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T16:30:00Z,0.0781050999495211,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T17:00:00Z,0.08472881324647083,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T18:30:00Z,0.040089665795724455,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T19:00:00Z,0.032189452074392014,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T19:30:00Z,0.04023955149501664,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T20:00:00Z,0.0362110549384568,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T20:30:00Z,0.030873681702382666,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T21:00:00Z,0.028687114332441213,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T21:30:00Z,0.02877242291077012,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T22:00:00Z,0.029315464626571728,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T22:30:00Z,0.029863302803177966,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T23:00:00Z,0.028666568059701473,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T23:30:00Z,0.028290328038363653,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
