#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,raw_data_check,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,location,source
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:13.527Z,1970-01-21T10:43:20.052Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:13.834Z,1970-01-21T10:43:20.052Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:14.041Z,1970-01-21T10:43:20.053Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:14.345Z,1970-01-21T10:43:20.053Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:14.654Z,1970-01-21T10:43:20.053Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:14.86Z,1970-01-21T10:43:20.053Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:15.166Z,1970-01-21T10:43:20.054Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:15.474Z,1970-01-21T10:43:20.054Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:15.681Z,1970-01-21T10:43:20.054Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:15.989Z,1970-01-21T10:43:20.055Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:16.292Z,1970-01-21T10:43:20.055Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:16.497Z,1970-01-21T10:43:20.055Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:16.805Z,1970-01-21T10:43:20.055Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:17.119Z,1970-01-21T10:43:20.056Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:17.318Z,1970-01-21T10:43:20.056Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:17.625Z,1970-01-21T10:43:20.056Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:17.931Z,1970-01-21T10:43:20.056Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:18.135Z,1970-01-21T10:43:20.057Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:18.442Z,1970-01-21T10:43:20.057Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:18.75Z,1970-01-21T10:43:20.057Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:18.961Z,1970-01-21T10:43:20.058Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:19.219Z,1970-01-21T10:43:20.058Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:19.57Z,1970-01-21T10:43:20.058Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:19.774Z,1970-01-21T10:43:20.058Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:20.082Z,1970-01-21T10:43:20.059Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:20.388Z,1970-01-21T10:43:20.059Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:20.697Z,1970-01-21T10:43:20.059Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:20.903Z,1970-01-21T10:43:20.059Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:21.207Z,1970-01-21T10:43:20.060Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:21.514Z,1970-01-21T10:43:20.060Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:21.72Z,1970-01-21T10:43:20.060Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:22.028Z,1970-01-21T10:43:20.061Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:22.54Z,1970-01-21T10:43:20.061Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:22.643Z,1970-01-21T10:43:20.061Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:22.848Z,1970-01-21T10:43:20.061Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:23.051Z,1970-01-21T10:43:20.062Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:23.358Z,1970-01-21T10:43:20.062Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:23.665Z,1970-01-21T10:43:20.062Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:23.97Z,1970-01-21T10:43:20.062Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:24.177Z,1970-01-21T10:43:20.063Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:24.482Z,1970-01-21T10:43:20.063Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:24.689Z,1970-01-21T10:43:20.063Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:25.2Z,1970-01-21T10:43:20.064Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:25.402Z,1970-01-21T10:43:20.064Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:25.608Z,1970-01-21T10:43:20.064Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:25.813Z,1970-01-21T10:43:20.064Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:26.018Z,1970-01-21T10:43:20.065Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:26.427Z,1970-01-21T10:43:20.065Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:26.632Z,1970-01-21T10:43:20.065Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:26.839Z,1970-01-21T10:43:20.065Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:27.144Z,1970-01-21T10:43:20.066Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:27.453Z,1970-01-21T10:43:20.066Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:27.965Z,1970-01-21T10:43:20.066Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:28.169Z,1970-01-21T10:43:20.067Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.114Z,1970-01-21T10:43:20.067Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.119Z,1970-01-21T10:43:20.067Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.12Z,1970-01-21T10:43:20.068Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.121Z,1970-01-21T10:43:20.068Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.319Z,1970-01-21T10:43:20.068Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.321Z,1970-01-21T10:43:20.069Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.525Z,1970-01-21T10:43:20.069Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:30.73Z,1970-01-21T10:43:20.069Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:31.037Z,1970-01-21T10:43:20.070Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:31.242Z,1970-01-21T10:43:20.070Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:31.549Z,1970-01-21T10:43:20.070Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:31.857Z,1970-01-21T10:43:20.070Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:32.062Z,1970-01-21T10:43:20.071Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:32.367Z,1970-01-21T10:43:20.071Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:32.677Z,1970-01-21T10:43:20.071Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:32.88Z,1970-01-21T10:43:20.071Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:33.187Z,1970-01-21T10:43:20.072Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:33.391Z,1970-01-21T10:43:20.072Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:33.698Z,1970-01-21T10:43:20.072Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:34.005Z,1970-01-21T10:43:20.073Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:34.216Z,1970-01-21T10:43:20.073Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:34.52Z,1970-01-21T10:43:20.073Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:34.724Z,1970-01-21T10:43:20.073Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:35.033Z,1970-01-21T10:43:20.074Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:35.236Z,1970-01-21T10:43:20.074Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:35.544Z,1970-01-21T10:43:20.074Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:35.851Z,1970-01-21T10:43:20.074Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:36.056Z,1970-01-21T10:43:20.075Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:36.465Z,1970-01-21T10:43:20.075Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:36.67Z,1970-01-21T10:43:20.075Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:36.875Z,1970-01-21T10:43:20.075Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:37.18Z,1970-01-21T10:43:20.076Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:37.692Z,1970-01-21T10:43:20.076Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:37.898Z,1970-01-21T10:43:20.076Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:38.102Z,1970-01-21T10:43:20.077Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:38.308Z,1970-01-21T10:43:20.077Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:38.614Z,1970-01-21T10:43:20.077Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:39.126Z,1970-01-21T10:43:20.077Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:39.228Z,1970-01-21T10:43:20.078Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:39.433Z,1970-01-21T10:43:20.078Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:39.741Z,1970-01-21T10:43:20.078Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:39.947Z,1970-01-21T10:43:20.079Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:40.253Z,1970-01-21T10:43:20.079Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:40.561Z,1970-01-21T10:43:20.079Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:40.766Z,1970-01-21T10:43:20.079Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:41.074Z,1970-01-21T10:43:20.080Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-22T18:38:12.585371753Z,2025-12-24T18:38:12.585371753Z,2025-12-24T18:14:41.379Z,1970-01-21T10:43:20.080Z,device_ts,energy_3phase,AI205,unknown,mqtt_backend
