#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,location,source
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:16:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:20:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:24:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:28:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:32:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:36:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:40:00Z,1,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:44:00Z,1.6310344827586207,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:48:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:52:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T18:56:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:00:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:04:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:08:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:12:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:16:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:20:00Z,2,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:24:00Z,2.295589988081049,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:28:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:32:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:36:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:40:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:44:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:48:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:52:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T19:56:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:00:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:04:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:08:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:12:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:16:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:20:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:24:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:28:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:32:00Z,3,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:36:00Z,3.8631221719457014,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:40:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:44:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:48:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:52:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T20:56:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:00:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:04:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:08:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:12:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:16:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:20:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:24:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:28:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
,,0,2025-12-24T05:30:25.468707656Z,2025-12-25T05:30:25.468707656Z,2025-12-24T21:32:00Z,4,energy_total,energy_3phase,AI205,unknown,mqtt_backend
